"Year"," Month","Temperature"
1972,6,17.73666667
1972,7,19.57419355
1972,8,17.78064516
1972,9,11.92666667
1972,10,7.441935484
1972,11,4.116666667
1972,12,-0.438709677
1973,1,-1.122580645
1973,2,1.592857143
1973,3,4.209677419
1973,4,7.736666667
1973,5,15.50322581
1973,6,17.66333333
1973,7,19.4483871
1973,8,19.42903226
1973,9,15.62
1973,10,7.896774194
1973,11,2.403333333
1973,12,0.438709677
1974,1,1.261290323
1974,2,3.95
1974,3,6.929032258
1974,4,8.96
1974,5,13.11290323
1974,6,15.80333333
1974,7,18.41612903
1974,8,20.53870968
1974,9,14.57333333
1974,10,6.203225806
1974,11,4.73
1974,12,3.280645161
1975,1,2.793548387
1975,2,0.114285714
1975,3,5.393548387
1975,4,9.04
1975,5,15.76129032
1975,6,16.79666667
1975,7,19.42903226
1975,8,18.96129032
1975,9,16.73
1975,10,8.987096774
1975,11,3.03
1975,12,-0.232258065
1976,1,0.067741935
1976,2,-0.503448276
1976,3,1.690322581
1976,4,9.613333333
1976,5,13.97419355
1976,6,17.89666667
1976,7,20.69677419
1976,8,16.25483871
1976,9,13.66333333
1976,10,10.39354839
1976,11,5.713333333
1976,12,0.061290323
1977,1,-0.096774194
1977,2,3.746428571
1977,3,7.8
1977,4,7.9
1977,5,14.30322581
1977,6,18.28333333
1977,7,19.00645161
1977,8,18.17096774
1977,9,13.33333333
1977,10,10.09677419
1977,11,5.08
1977,12,-0.916129032
1978,1,-0.496774194
1978,2,-0.7
1978,3,5.770967742
1978,4,8.153333333
1978,5,12.62258065
1978,6,16.48666667
1978,7,17.37419355
1978,8,17.38709677
1978,9,14.29
1978,10,9.535483871
1978,11,0.993333333
1978,12,-0.409677419
1979,1,-3.832258065
1979,2,0.35
1979,3,6.458064516
1979,4,8.053333333
1979,5,14.63870968
1979,6,19.35333333
1979,7,17.1516129
1979,8,17.4483871
1979,9,14.79333333
1979,10,8.103225806
1979,11,4.803333333
1979,12,3.238709677
1980,1,-3.332258065
1980,2,1.582758621
1980,3,3.990322581
1980,4,6.936666667
1980,5,11.89677419
1980,6,16.91333333
1980,7,17.96451613
1980,8,18.76451613
1980,9,14.55666667
1980,10,9.438709677
1980,11,2.073333333
1980,12,-0.590322581
1981,1,-2.529032258
1981,2,0.114285714
1981,3,7.387096774
1981,4,9.266666667
1981,5,14.45483871
1981,6,18.42666667
1981,7,19.26451613
1981,8,18.95806452
1981,9,15.71666667
1981,10,10.31935484
1981,11,4.496666667
1981,12,-0.74516129
1982,1,-3.487096774
1982,2,-1.767857143
1982,3,4.793548387
1982,4,7.793333333
1982,5,14.65483871
1982,6,18.37
1982,7,20
1982,8,19.12903226
1982,9,17.26333333
1982,10,10.31290323
1982,11,4.846666667
1982,12,2.506451613
1983,1,2.451612903
1983,2,-1.632142857
1983,3,5.858064516
1983,4,11.38666667
1983,5,15.55806452
1983,6,17.89666667
1983,7,22.71612903
1983,8,19.98387097
1983,9,15.37
1983,10,9.948387097
1983,11,1.66
1983,12,0.412903226
1984,1,-0.119354839
1984,2,-0.25862069
1984,3,3.680645161
1984,4,8.79
1984,5,13.37741935
1984,6,16.93333333
1984,7,18.16451613
1984,8,18.45806452
1984,9,14.48333333
1984,10,10.78387097
1984,11,4.423333333
1984,12,0.116129032
1985,1,-5.964516129
1985,2,-3.117857143
1985,3,3.287096774
1985,4,9.856666667
1985,5,15.29677419
1985,6,15.79666667
1985,7,20.01290323
1985,8,19.24193548
1985,9,15.77
1985,10,9.029032258
1985,11,2.156666667
1985,12,3.090322581
1986,1,-0.174193548
1986,2,-4.989285714
1986,3,2.606451613
1986,4,10.85333333
1986,5,16.85806452
1986,6,17.58
1986,7,18.92258065
1986,8,19.62580645
1986,9,14.33333333
1986,10,9.419354839
1986,11,4.563333333
1986,12,-1.506451613
1987,1,-5.038709677
1987,2,-0.482142857
1987,3,-0.55483871
1987,4,10.14333333
1987,5,12.68709677
1987,6,17.66666667
1987,7,21.09354839
1987,8,17.4
1987,9,17.71
1987,10,10.66451613
1987,11,4.806666667
1987,12,1.525806452
1988,1,2.022580645
1988,2,2.562068966
1988,3,3.661290323
1988,4,9.163333333
1988,5,15.09032258
1988,6,17.37666667
1988,7,20.87419355
1988,8,19.73548387
1988,9,15.04333333
1988,10,9.590322581
1988,11,0.566666667
1988,12,1.24516129
1989,1,-0.606451613
1989,2,3.575
1989,3,7.864516129
1989,4,10.7
1989,5,14.18387097
1989,6,16.34333333
1989,7,20.3483871
1989,8,18.97419355
1989,9,15.04666667
1989,10,9.916129032
1989,11,2.843333333
1989,12,1.722580645
1990,1,-1.187096774
1990,2,5.317857143
1990,3,8.370967742
1990,4,9.223333333
1990,5,15.61290323
1990,6,17.30333333
1990,7,19.24193548
1990,8,20.33870968
1990,9,13.41666667
1990,10,9.522580645
1990,11,4.956666667
1990,12,-0.493548387
1991,1,-0.109677419
1991,2,-3.017857143
1991,3,6.5
1991,4,8.406666667
1991,5,11.34193548
1991,6,17.24
1991,7,20.87419355
1991,8,19.74516129
1991,9,16.11333333
1991,10,8.170967742
1991,11,4.483333333
1991,12,-1.870967742
1992,1,0.570967742
1992,2,2.724137931
1992,3,5.109677419
1992,4,10.23666667
1992,5,15.02580645
1992,6,18.50666667
1992,7,21.11612903
1992,8,24.39032258
1992,9,15.57
1992,10,8.735483871
1992,11,4.7
1992,12,0.338709677
1993,1,0.738709677
1993,2,-1.228571429
1993,3,4.064516129
1993,4,10.24666667
1993,5,17.2
1993,6,18.21666667
1993,7,19.16774194
1993,8,19.80645161
1993,9,15.05333333
1993,10,10.72903226
1993,11,0.9
1993,12,0.996774194
1994,1,3.187096774
1994,2,0.575
1994,3,8.067741935
1994,4,9.973333333
1994,5,14.76774194
1994,6,18.55666667
1994,7,22.52903226
1994,8,21.51935484
1994,9,16.99
1994,10,7.716129032
1994,11,6.76
1994,12,1.190322581
1995,1,-0.55483871
1995,2,4.410714286
1995,3,4.316129032
1995,4,10.24
1995,5,14.3483871
1995,6,16.89333333
1995,7,22.12580645
1995,8,18.89032258
1995,9,13.65
1995,10,10.3483871
1995,11,2.613333333
1995,12,-0.841935484
1996,1,-2.751612903
1996,2,-3.95862069
1996,3,1.090322581
1996,4,9.693333333
1996,5,15.58709677
1996,6,18.83
1996,7,18.21612903
1996,8,18.6
1996,9,11.96333333
1996,10,10.25483871
1996,11,6.316666667
1996,12,-2.661290323
1997,1,-2.912903226
1997,2,2.685714286
1997,3,5.106451613
1997,4,7.106666667
1997,5,15.49032258
1997,6,18.51333333
1997,7,19.0516129
1997,8,19.55483871
1997,9,14.88333333
1997,10,7.277419355
1997,11,4.52
1997,12,1.551612903
1998,1,0.835483871
1998,2,4.55
1998,3,3.916129032
1998,4,11.16
1998,5,14.90645161
1998,6,19.11
1998,7,20.11290323
1998,8,20.59032258
1998,9,14.19666667
1998,10,10.36451613
1998,11,2.36
1998,12,-2.464516129
1999,1,-0.929032258
1999,2,0.207142857
1999,3,6.503225806
1999,4,11.15666667
1999,5,15.41612903
1999,6,18.35666667
1999,7,20.87419355
1999,8,18.87419355
1999,9,17.15666667
1999,10,10.20967742
1999,11,3.013333333
1999,12,0.112903226
2000,1,-2.564516129
2000,2,3.6
2000,3,6.190322581
2000,4,13.25666667
2000,5,16.82580645
2000,6,20.17333333
2000,7,18.99677419
2000,8,21.5
2000,9,14.92666667
2000,10,12.28709677
2000,11,7.856666667
2000,12,1.796774194
2001,1,0.393548387
2001,2,3.689285714
2001,3,7.625806452
2001,4,9.45
2001,5,16.83225806
2001,6,17.5
2001,7,20.7
2001,8,21.76774194
2001,9,13.69
2001,10,13.19677419
2001,11,3.693333333
2001,12,-3.3
2002,1,0.096774194
2002,2,4.692857143
2002,3,6.680645161
2002,4,9.776666667
2002,5,17.22903226
