p,omega,delta,mu_e,mu_ql,mu_el,mu_qn,mu_en,mu_qa,mu_ea,mu_h,beta_nh,beta_hl,beta_hn,lambda_l,lambda_n,lambda_a,alpha,f_l,f_n,f_a,kappa,c,Tf,obsprob,T_min_l,gamma,E0,QL0,EL_s0,EL_i0,QN_s0,QN_i0,EN_s0,EN_i0,QA_s0,QA_i0,EA0,H_s0,H_i0,LogLik
2000,105.97120772272075,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0017434298862376322,0.022526805710289616,0.14676669035907353,65.140205078125,0.6215226886669737,0.4086254672677283,0.3303001138141476,6.391539600327708,0.4,4,0.2208863177121106,5.936311192892598,0.082255859375,335.34631047313826,253.22173172347084,190.2277310522003,29.527025868883392,112.15154864828921,26.045286831449804,58.98263064337879,55.02439343674611,11.818550613493024,17.550880461656327,22.597285598072254,0.09857969868872996,0.011242566923435816,-8839.789695
2000,55.859634248662545,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.018776362696673956,0.02562356429991009,0.014989178169807738,15.145205078125,0.15868722279717118,0.7419010178895731,0.35124692170922533,0.0000942385680451302,0.4,4,0.3318898492369528,10.525703420077656,0.327255859375,301092365.8137046,7034.78099379547,7.537915366358942,1.9580409845946753,543.7867521529499,79.88049544120294,50.356344462159676,203.54397568887453,5.02276942856223,24.555819185989897,2.191004147056148,0.10431341660343543,0.7416234962472095,-8781.202665
2000,2.5540072831976173,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.0007131074551923014,0.8588635151622351,3.07090603726972,90.137705078125,0.7376546085853812,0.18354858920753014,0.6328117671114805,0.985030249818272,0.4,4,0.23362655755758416,9.472671075901578,0.449755859375,2.417228924371085,0.03469215802960385,43.65053911299064,1.4259543497017062e-18,4.1675984001482504,14.510305179373262,0.07597715654242294,0.7184629083336924,41.6509167640427,274.5866229485993,0.003983168012185488,0.0001966600152769402,0.8447645641179065,-9118.980026
2000,68.8367644029181,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003802410319676019,0.01802422832451865,0.002948688053261172,40.142705078125,0.6136844490320685,0.9974440232493383,0.6452188817735929,0.0000516036356499331,0.4,4,0.22958954042650004,13.196375768083577,0.204755859375,0.04282736253466052,0.00000859304454734748,0.0004900361357532283,0.46044671232376494,58.4817032726564,0.7229311700201536,34.02368863055828,61.44487564688059,0.013948372636376476,0.2256590412260927,894.8692945296835,0.00005937330908473922,0.999614082628721,-8613.600827
2000,314.54576682774854,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00046597598218447593,0.29336694295032073,0.015646366848542474,77.638955078125,0.9778428212228298,0.9546079457694278,0.32939453124999996,0.05522060546875,0.4,4,2776.3330006778388,0.28049215926878845,0.143505859375,85.64453125000003,58.88671874999999,41.50390625,39.94140625,86.62109375000001,62.73627735759603,48.925781250000014,96.77734374999999,72.94921874999997,86.03515625,92.48046875000004,0.030761718750000003,0.33251953125,-18607.39096
2000,82.39182762109252,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008133485624253301,0.01850435988263422,0.00368742142557188,27.643955078125,0.5858049307980763,0.4688621640160342,0.7800006140885394,0.00022959924297557188,0.4,4,0.4671875972914642,1.8586866421362915,0.388505859375,60.37216734105851,0.204953286719965,39.485872240644554,56.03436505170464,471.3568280395166,0.4357019302818373,8.386465625166856,23.38761363399297,537.8564546611453,31.141072564926464,46.888744731023955,0.09139092438992005,0.05812817059179378,-8636.677057
2000,16.99260928227119,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.009933604809991673,0.569006639981694,0.004254019661201079,52.641455078125,0.5903216368973281,0.12897520698078063,0.06009984364292409,0.017372475202754468,0.4,4,0.9417142888210795,109.30290673366599,0.266005859375,132.1202146876989,0.00004708855118079402,0.000021051742407500587,10.206142444555324,44.818700690523684,0.00008724069370791854,15.197327183434426,0.00014238301363459185,25.145776235346972,0.00004606727974714378,10.680986406595261,2.661458372944287e-7,0.9987808020662575,NaN
2000,43.65988883191819,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.01832762379619205,0.0031465892748225545,0.28550089664334966,2.646455078125,0.7647863286117216,0.14754548469252848,0.21248846356303835,0.004764252509263514,0.4,4,0.4572798332072212,1.5539965633915849,0.021005859375,34.33723222832533,0.0009027396816417736,28.39341389186351,74595.68726368328,0.0005493655687915221,27.313357793342306,0.03410638120154279,1.576640816080319,23.081613656456298,1.7497890318626421e-10,0.0030297094140494356,0.008602047784562925,0.054773802899082666,-8661.370226
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN
2000,68.94736898511178,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.009282764009130402,0.007300414136096004,0.09273838728520661,21.394580078125,0.12401613195668854,0.28868987796188555,0.9998912001793634,0.8543067377267912,0.4,4,0.28608131368865763,2.5964049311994573,0.051630859375,23.047446398443913,11374.262320915605,0.15863390333417207,922.4645559439509,4.5514721306950605,66.27124515987968,0.01652474590717659,0.00001640009270664819,1074.6093029864421,6.448595929504758,49.255524795723474,0.6340758926425107,0.07203526152537651,-8754.211521
